The running time of sorting algorithms;;;;;;;;;;;;;
Input State;Input Size;Selection;Insertion;Binary Insertion;Bubble;Shaker;Shell;Heap;Merge;Quick;Counting;Radix;Flash
Random;1000;0;0;0;0;0;0;0;0;0;0;0;0
Random;3000;0,015;0,008;0,012;0,032;0,031;0;0;0;0;0;0;0
Random;10000;0,162;0,079;0,066;0,388;0,317;0;0;0;0;0;0;0
Random;30000;1,428;0,679;0,553;3,933;2,581;0;0,008;0,016;0,008;0;0;0
Random;100000;15,389;8,064;6,332;50,248;35,099;0,031;0,025;0,024;0,015;0,008;0,008;0,002
Sorted;1000;0;0;0;0;0;0;0;0;0;0;0;0
Sorted;3000;0,015;0;0;0,015;0;0;0;0;0;0;0;0
Sorted;10000;0,169;0;0;0,157;0;0;0;0;0;0;0;0
Sorted;30000;1,397;0;0;1,493;0;0;0,015;0,016;0;0,016;0,015;0
Sorted;100000;21,208;0;0;25,876;0,015;0;0,018;0,016;0;0,048;0,015;0
Reverse;1000;0,007;0;0;0,008;0,008;0;0;0;0;0;0;0
Reverse;3000;0,017;0,016;0,015;0,032;0,05;0;0;0;0;0;0;0
Reverse;10000;0,134;0,155;0,145;0,004;0,464;0;0;0;0;0;0;0
Reverse;30000;2,018;1,47;1,131;3,638;4,227;0;0;0;0;0;0;0
Reverse;100000;23,002;15,62;12,054;38,17;45,44;0,008;0,008;0,008;0;0,008;0,008;0
